slang,formal_translation
ab,about
abt,about
b/c,because
b,be
b4,before
bfn,bye for now
bgd,background
br,best regards
btw,by the way
chk,check
cld,could
clk,click
coz,because
cre8,create
da,the
deets,details
dm,direct message
em,email
eml,email
f2f,face to face
fab,fabulous
ftl,for the loss
ftw,for the win
ic,i see
icymi,in case you missed it
idk,i do not know
nts,note to self
prt,please retweet
tbh,to be honest
tbt,throw back thursday
tftf,thanks for the follow
tmb,tweet me back
u,you
woz,was
wtv,whatever
wtf,what the fuck
kms,kill myself
omg,oh my god
hmu,hit me up
smh,shaking my head
asap,as soon as possible
tmlt,to my last tweet
lmao,laughing my ass of
dwnld,download
pic,picture
pics,pictures
twt,tweet
bc,because
pls,please
cuz,because
brb,be right back
pw,password
dis,this
im,i am
ur,you are
nsfw ,not safe for work
fb ,facebook
ig ,instagram
edm,electronic dance music
fyi ,for your information
nvm ,never mind
nthing,nothing
rofl ,rolling on floor laughing
lmk ,let me know
yolo,you only live once
lmfao,laughing my freaking ass of
ofc,of course
4eva,forever
air ,as i remember
atm,at the moment
b2w,back to work
bae ,babe
bau ,business as usual
bday,birthday
b-day ,birthday
cu,see you
cya ,see you
eod ,end of day
fml,fuck my life
h8,hate
r ,are
idc,i do not care
im,instant message
imo,in my opinion
k ,okay
kk,okay
lol,laughing out loud
msg,message
myob ,mind your own business
nm ,never mind
pls,please
pm,private message
potd,photo of the day
rt ,retweet
sry ,sorry
thx,thanks for the follow
tx,thanks
yt,youtube
tw,twitter
afaik ,as far as i know
dyk,did you know
fbf ,flashback Friday
ff,follow Friday
tgif ,thank god it is friday
